Wvl_nm	Ref_228K	a0	a1
881	3.98580E-23	-0.34598	0
882	4.13770E-23	-0.32799	0
883	4.35550E-23	-0.25345	0
884	4.47560E-23	-0.31651	0
885	4.79080E-23	-0.16653	0
886	5.04000E-23	-0.18371	0
887	5.08790E-23	-0.26622	0
888	5.23690E-23	-0.25753	0
889	5.37540E-23	-0.18659	0
890	5.34130E-23	-0.24471	0
891	5.13760E-23	-0.25767	0
892	4.94110E-23	-0.30302	0
893	5.08310E-23	-0.33273	0
894	5.47730E-23	-0.24162	0
895	6.11270E-23	-0.16653	0
896	6.58060E-23	-0.18371	0
897	6.85020E-23	-0.26622	0
898	6.85980E-23	-0.25753	0
899	6.68100E-23	-0.13765	0
900	6.44000E-23	-0.16854	0
901	6.12060E-23	-0.18622	0
902	5.65850E-23	-0.24576	0
903	5.07500E-23	-0.39893	0
904	4.82210E-23	-0.27883	0
905	4.27930E-23	-0.42487	0
906	3.89670E-23	-0.49102	0
907	3.54700E-23	-0.53909	0
908	3.08160E-23	-0.76704	0
909	2.74380E-23	-0.90009	0
910	2.50380E-23	-0.85829	0
911	2.29330E-23	-0.88844	0
912	2.05260E-23	-0.10346	0
913	1.97100E-23	-0.81869	0
914	1.78710E-23	-0.99367	0
915	1.70570E-23	-0.9018	0
916	1.60610E-23	-0.89852	0
917	1.56870E-23	-0.80151	0
918	1.45940E-23	-1.0768	0
919	1.45810E-23	-0.85237	0
920	1.49180E-23	-0.57673	0
921	1.38410E-23	-0.80898	0
922	1.34530E-23	-0.9569	0
923	1.35950E-23	-0.84972	0
924	1.35540E-23	-0.80015	0
925	1.38050E-23	-0.78021	0
926	1.41780E-23	-0.51981	0
927	1.50540E-23	-0.55733	0
928	1.51450E-23	-0.46725	0
929	1.54160E-23	-0.43829	0
930	1.55140E-23	-0.66997	0
931	1.47900E-23	-0.48066	0
932	1.53790E-23	-0.68195	0
933	1.38540E-23	-0.77695	0
934	1.39450E-23	-0.68195	0
935	1.48210E-23	-0.71643	0
936	1.69980E-23	-0.56422	0
937	2.00640E-23	-0.050515	0
938	2.36220E-23	-0.19633	0
939	2.75990E-23	-0.09311	0
940	3.18640E-23	-0.050515	0
941	3.64890E-23	-0.047245	0
942	4.14320E-23	0.04136	0
943	4.51090E-23	0.097526	0
944	4.69130E-23	0.09342	0
945	4.66180E-23	0.12463	0
946	4.28490E-23	0.03489	0
947	3.88880E-23	0.046506	0
948	3.33750E-23	-0.043137	0
949	2.71560E-23	-0.19786	0
950	2.25220E-23	-0.4147	0
951	1.91710E-23	-0.5713	0
952	1.79440E-23	-0.49743	0
953	1.53230E-23	-0.57201	0
954	1.30000E-23	-0.74405	0
955	1.33900E-23	-0.73281	0
956	1.28910E-23	-0.50523	0
957	1.28740E-23	-0.27075	0
958	1.08880E-23	-0.74651	0
959	9.96980E-24	-0.61165	0
960	8.96500E-24	-0.6022	0
961	7.70140E-24	-0.99648	0
962	7.07310E-24	-1.0082	0
963	7.08480E-24	-0.68205	0
964	7.08290E-24	-0.71301	0
965	6.66220E-24	-0.77561	0
966	6.12420E-24	-0.8351	0
967	5.51580E-24	-0.75282	0
968	4.64460E-24	-0.82164	0
969	3.63940E-24	-1.7244	0
970	2.70590E-24	-2.3636	0
971	2.46660E-24	-2.5231	0
972	2.12060E-24	-2.943	0
973	2.01140E-24	-2.7728	0
974	1.76980E-24	-3.2206	0
975	4.91820E-25	-17.119	0
976	1.11820E-24	-5.4586	0
977	1.10810E-24	-4.968	0
978	1.53990E-24	-3.3996	0
979	1.49910E-24	-3.5933	0
980	1.74460E-24	-2.0702	0
981	2.01100E-24	-2.6336	0
982	1.98150E-24	-3.0226	0
983	2.54860E-24	-2.0496	0
984	2.69670E-24	-2.5148	0
985	4.36100E-24	-1.1125	0
986	5.05560E-24	-1.5565	0
987	7.84540E-24	-0.44496	0
988	1.05300E-23	-0.073957	0
989	1.26070E-23	-0.14391	0
990	1.97340E-23	-0.062276	0
991	4.11640E-23	0.32093	0
992	3.38860E-23	0.48641	0
993	2.70520E-23	0.40728	0
994	2.63170E-23	0.27666	0
995	2.28090E-23	0.075059	0
996	1.75150E-23	-0.22433	0
997	1.17170E-23	-0.67294	0
998	9.54480E-24	-0.7765	0
999	7.97770E-24	-0.89314	0
1000	5.20910E-24	-1.3723	0
1001	7.17860E-24	-0.95088	0
1002	6.06430E-24	-1.3637	0
1003	5.55810E-24	-1.0248	0
1004	5.12440E-24	-2.0452	0
1005	4.24840E-24	-1.3221	0
1006	4.34550E-24	-0.73472	0
1007	3.75460E-24	-2.0125	0
1008	3.37360E-24	-1.6625	0
1009	3.42680E-24	-2.7556	0
1010	2.98300E-24	-2.1145	0
1011	2.72060E-24	-3.0184	0
1012	2.75680E-24	-3.9335	0
1013	2.55440E-24	-1.181	0
1014	2.34560E-24	-1.6502	0
1015	2.24190E-24	-1.6721	0
1016	2.24040E-24	-1.7441	0
1017	2.08050E-24	-3.9881	0
1018	1.91990E-24	-5.4397	0
1019	1.89370E-24	-3.3239	0
1020	1.82860E-24	-2.9381	0
1021	1.64580E-24	-5.5354	0
1022	1.51280E-24	-0.74924	0
1023	1.45930E-24	-2.7529	0
1024	1.44480E-24	-2.2288	0
1025	1.38050E-24	-3.032	0
1026	1.33470E-24	-2.622	0
1027	1.34410E-24	-2.1145	0
1028	1.40110E-24	-2.1554	0
1029	1.40820E-24	-5.9414	0
1030	1.41800E-24	-4.6831	0
1031	1.41830E-24	-1.7147	0
1032	1.44720E-24	-2.6557	0
1033	1.49180E-24	-1.8585	0
1034	1.57540E-24	-1.9569	0
1035	1.68350E-24	-2.604	0
1036	1.76840E-24	-3.0522	0
1037	1.87800E-24	-1.6862	0
1038	1.95340E-24	-2.3262	0
1039	2.07910E-24	-4.2982	0
1040	2.27960E-24	-2.8414	0
1041	2.50450E-24	-0.84791	0
1042	2.75140E-24	-3.8378	0
1043	3.12240E-24	-1.9	0
1044	3.77970E-24	0	0
1045	5.35490E-24	0	0
1046	6.99230E-24	0	0
1047	5.81350E-24	0	0
1048	5.13450E-24	0	0
1049	5.16810E-24	0	0
1050	4.96750E-24	0	0
1051	4.37870E-24	0	0
1052	3.56640E-24	0	0
1053	3.13140E-24	0	0
1054	2.72540E-24	0	0
1055	2.61040E-24	0	0
1056	2.25960E-24	0	0
1057	2.25450E-24	0	0
1058	1.98240E-24	0	0
1059	1.90930E-24	0	0
1060	1.85260E-24	0	0
1061	1.72160E-24	0	0
1062	1.82510E-24	0	0
1063	1.87110E-24	0	0
1064	1.98440E-24	0	0
1065	2.30880E-24	0	0
1066	2.25280E-24	0	0
1067	1.91950E-24	0	0
1068	1.79730E-24	0	0
1069	1.84450E-24	0	0
1070	1.68770E-24	0	0
1071	1.43150E-24	0	0
1072	1.25720E-24	0	0
1073	1.11590E-24	0	0
1074	1.06390E-24	0	0
1075	1.06190E-24	0	0
1076	9.55420E-25	0	0
1077	9.72080E-25	0	0
1078	8.70830E-25	0	0
1079	8.46500E-25	0	0
1080	7.63250E-25	0	0
1081	6.87960E-25	0	0
1082	6.93620E-25	0	0
1083	7.03670E-25	0	0
1084	7.02080E-25	0	0
1085	6.96290E-25	0	0
1086	7.81540E-25	0	0
1087	7.44040E-25	0	0
1088	7.22210E-25	0	0
1089	6.41250E-25	0	0
1090	4.74710E-25	0	0
1091	4.26330E-33	0	0
