Wvl_nm	Ref_228K	a0	a1
355.5	4.10210E-23	0.35906	2.08
356	2.89790E-23	-0.63452	2.0568
356.5	2.84390E-23	-2.037	1.8426
357	3.26660E-23	-3.2396	1.6695
357.5	2.66410E-23	-3.6177	1.7373
358	1.95240E-23	-3.763	1.8884
358.5	1.54090E-23	-2.7861	2.08
359	2.38260E-23	-0.37612	2.08
359.5	5.68840E-23	1.4084	2.08
360	4.61730E-23	1.0765	2.08
360.5	3.19870E-23	0.24067	2.0411
361	2.08830E-23	-0.36692	2.0695
361.5	1.31990E-23	-1.1531	2.08
362	8.68070E-24	-1.9793	2.08
362.5	7.02010E-24	-2.804	2.08
363	6.14740E-24	-2.9473	2.08
363.5	7.03070E-24	-1.5609	2.08
364	6.40670E-24	-1.5902	2.08
364.5	8.49120E-24	-1.6999	2.08
365	1.04210E-23	-2.1023	2.0542
365.5	9.34370E-24	-2.5468	2.0782
366	7.33610E-24	-3.261	2.08
366.5	4.98730E-24	-4.1776	2.08
367	3.73690E-24	-4.2271	2.08
367.5	3.58680E-24	-3.0567	2.08
368	4.88530E-24	-1.1697	2.08
368.5	7.94970E-24	0.044659	2.08
369	6.94180E-24	-0.26774	2.08
369.5	5.40780E-24	-0.84238	2.08
370	4.19740E-24	-2.0232	2.08
370.5	3.50660E-24	-2.8672	2.08
371	3.18290E-24	-3.2371	2.08
371.5	2.70850E-24	-3.2283	2.08
372	2.49830E-24	-2.8162	2.08
372.5	2.33850E-24	-2.6815	2.08
373	2.80760E-24	-1.9276	2.08
373.5	3.82190E-24	-1.7576	2.08
374	3.75360E-24	-2.199	2.08
374.5	3.96490E-24	-1.8324	2.08
375	3.57270E-24	-1.7125	2.08
375.5	3.32260E-24	-1.3515	2.08
376	3.01830E-24	-1.3701	2.08
376.5	3.05120E-24	-0.9078	2.08
377	2.80380E-24	-0.93635	2.08
377.5	2.55810E-24	-1.2462	2.08
378	2.55020E-24	-1.2644	2.08
378.5	2.82070E-24	-1.1333	2.08
379	3.08150E-24	-1.0644	2.08
379.5	3.25660E-24	-1.0004	2.08
380	3.37010E-24	-0.69336	2.08
380.5	3.58670E-24	-0.25127	2.08
381	3.91920E-24	0.18642	2.08
381.5	4.11360E-24	0.38	2.08
382	4.23380E-24	0.49563	2.08
382.5	4.48890E-24	0.63676	2.08
383	4.44790E-24	0.47441	2.08
383.5	4.14640E-24	0.20793	2.08
384	4.17620E-24	0.25095	2.08
384.5	4.07120E-24	0.24436	2.08
385	4.02630E-24	0.30517	2.08
385.5	4.04010E-24	0.36357	2.08
386	4.36260E-24	0.59361	2.08
386.5	4.75970E-24	0.77459	2.08
387	4.96670E-24	0.78659	2.08
387.5	5.12650E-24	0.77154	2.08
388	5.31970E-24	0.75932	2.08
388.5	5.70610E-24	0.8617	2.08
389	5.87590E-24	0.90149	2.08
389.5	6.15810E-24	1.0202	2.08
390	6.35300E-24	1.117	2.08
390.5	6.43100E-24	1.1571	2.08
391	6.53440E-24	-2.255	0.54
391.5	6.61000E-24	-2.223	0.54
392	6.69000E-24	-2.2408	0.54
392.5	6.76000E-24	-2.3188	0.54
393	6.83000E-24	-2.488	0.54
393.5	7.05000E-24	-2.6847	0.54
394	7.28000E-24	-2.855	0.54
394.5	7.63000E-24	-2.8782	0.54
395	7.98000E-24	-2.8099	0.54
395.5	8.20000E-24	-3.9403	0
396	7.98000E-24	-4.1537	0
396.5	7.60000E-24	-4.3878	0
397	6.90000E-24	-5.0038	0
397.5	6.50000E-24	-5.5435	0
398	6.10000E-24	-6.1993	0
398.5	6.28000E-24	-5.83	0
399	6.45000E-24	-5.635	0
399.5	6.57000E-24	-5.5602	0
400	6.72000E-24	-5.1185	0
