wvl_nm	xsec_220K	a(T)
375	5.45390E-19	9.90E-23
375.5	6.15230E-19	-1.18E-22
376	6.50610E-19	-1.86E-22
376.5	6.88300E-19	-2.75E-22
377	6.01300E-19	6.03E-23
377.5	5.23980E-19	3.32E-22
378	5.21620E-19	3.00E-22
378.5	5.18670E-19	3.27E-22
379	5.44770E-19	2.60E-22
379.5	6.25660E-19	2.48E-23
380	6.60690E-19	-1.47E-22
380.5	6.33440E-19	-6.30E-24
381	6.06890E-19	7.44E-23
381.5	5.90440E-19	1.12E-22
382	5.92640E-19	6.12E-23
382.5	5.48290E-19	1.85E-22
383	5.52040E-19	1.77E-22
383.5	5.72550E-19	1.44E-22
384	6.09410E-19	-2.27E-23
384.5	6.27860E-19	-9.64E-23
385	6.36630E-19	-1.69E-22
385.5	6.08530E-19	3.92E-23
386	5.94910E-19	2.08E-23
386.5	5.33440E-19	3.66E-22
387	5.86720E-19	7.21E-23
387.5	6.18290E-19	-1.16E-22
388	6.23170E-19	-1.58E-22
388.5	5.91060E-19	1.27E-23
389	6.24660E-19	-2.53E-23
389.5	6.21420E-19	-3.84E-24
390	6.10180E-19	6.33E-23
390.5	6.16310E-19	3.27E-23
391	6.00080E-19	8.47E-23
391.5	6.40330E-19	-9.77E-23
392	6.71980E-19	-1.28E-22
392.5	6.21850E-19	7.79E-23
393	5.77990E-19	1.99E-22
393.5	5.47230E-19	2.59E-22
394	5.59340E-19	2.02E-22
394.5	5.34910E-19	3.10E-22
395	5.83100E-19	1.14E-22
395.5	6.54270E-19	-8.16E-23
396	6.52360E-19	-8.66E-23
396.5	5.65090E-19	2.46E-22
397	5.47240E-19	2.83E-22
397.5	5.61290E-19	1.65E-22
398	6.75480E-19	-2.51E-22
398.5	7.05480E-19	-2.05E-22
399	5.63520E-19	4.24E-22
399.5	5.78880E-19	2.55E-22
400	6.98200E-19	-2.56E-22
401	6.65510E-19	-7.12E-24
402	5.86880E-19	1.85E-22
403	5.25530E-19	3.36E-22
404	5.87780E-19	2.33E-22
405	6.51590E-19	-8.59E-23
406	5.64690E-19	1.68E-22
407	4.78720E-19	3.86E-22
408	6.31170E-19	-4.79E-24
409	6.45130E-19	4.37E-23
410	6.34020E-19	5.79E-23
411	6.12610E-19	7.51E-23
412	5.18320E-19	3.08E-22
413	6.83590E-19	-1.19E-23
414	6.31530E-19	1.35E-22
415	5.71470E-19	2.21E-22
416	4.70270E-19	4.34E-22
417	5.19520E-19	1.75E-22
418	5.53700E-19	1.78E-22
419	5.56890E-19	2.62E-22
420	6.11500E-19	-5.62E-24
421	5.92660E-19	1.54E-22
422	6.06500E-19	1.51E-22
423	5.86780E-19	1.90E-22
424	6.43990E-19	-6.96E-23
425	5.83360E-19	1.25E-22
426	4.36980E-19	5.34E-22
427	5.09620E-19	2.38E-22
428	6.15570E-19	-1.30E-22
429	4.76170E-19	3.12E-22
430	4.64550E-19	2.76E-22
431	6.17120E-19	-1.50E-22
432	4.74310E-19	4.32E-22
433	4.61300E-19	4.58E-22
434	5.57660E-19	1.47E-22
435	7.01830E-19	-4.93E-22
436	5.77620E-19	3.08E-23
437	4.36290E-19	4.40E-22
438	3.64760E-19	5.77E-22
439	6.80800E-19	-4.41E-22
440	5.72700E-19	-7.51E-23
441	3.97650E-19	3.09E-22
442	3.50500E-19	3.79E-22
443	4.07870E-19	2.51E-22
444	4.78600E-19	1.37E-22
