0.39	0.0091
0.395	0.009
0.4	0.009
0.405	0.0098
0.41	0.0097
0.415	0.0095
0.42	0.0106
0.425	0.0108
0.43	0.0111
0.435	0.0115
0.44	0.0116
0.445	0.0119
0.45	0.012
0.455	0.0119
0.46	0.012
0.465	0.0123
0.47	0.0125
0.475	0.0123
0.48	0.0126
0.485	0.0129
0.49	0.0132
0.495	0.0143
0.5	0.0157
0.505	0.0179
0.51	0.0206
0.515	0.0238
0.52	0.0271
0.525	0.0296
0.53	0.0321
0.535	0.0341
0.54	0.0357
0.545	0.0372
0.55	0.0376
0.555	0.0372
0.56	0.0362
0.565	0.0343
0.57	0.0327
0.575	0.0312
0.58	0.0301
0.585	0.0296
0.59	0.0292
0.595	0.029
0.6	0.0284
0.605	0.0276
0.61	0.0268
0.615	0.0259
0.62	0.0258
0.625	0.0258
0.63	0.0255
0.635	0.0248
0.64	0.0235
0.645	0.0225
0.65	0.0216
0.655	0.0208
0.66	0.0199
0.665	0.0197
0.67	0.0202
0.675	0.0211
0.68	0.0251
0.685	0.0335
0.69	0.0471
0.695	0.0641
0.7	0.0809
0.705	0.0982
0.71	0.1154
0.715	0.1337
0.72	0.1507
0.725	0.166
0.73	0.1796
0.735	0.1878
0.74	0.1951
0.745	0.1985
0.75	0.2006
0.755	0.2049
0.76	0.2084
0.765	0.2108
0.77	0.2116
0.775	0.2154
0.78	0.216
0.785	0.2161
0.79	0.2195
0.795	0.2201
0.8	0.2216
0.805	0.2228
0.81	0.2239
0.815	0.2245
0.82	0.2263
0.825	0.2283
0.83	0.2288
0.835	0.2313
0.84	0.2315
0.845	0.2312

