Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3115E+03 .3326E-01 .6149E-01 .8364E-01 .2481E-01 .3221E-01 .5702E-01
.3120E+03 .3677E-01 .6642E-01 .9091E-01 .2742E-01 .3481E-01 .6223E-01
.3125E+03 .3889E-01 .6918E-01 .9509E-01 .2901E-01 .3626E-01 .6527E-01
.3130E+03 .4222E-01 .7420E-01 .1023E+00 .3149E-01 .3890E-01 .7039E-01
.3135E+03 .4267E-01 .7440E-01 .1028E+00 .3183E-01 .3901E-01 .7083E-01
.3140E+03 .4728E-01 .8133E-01 .1128E+00 .3527E-01 .4266E-01 .7792E-01
.3145E+03 .5116E-01 .8715E-01 .1212E+00 .3816E-01 .4572E-01 .8388E-01
.3150E+03 .5351E-01 .9032E-01 .1260E+00 .3991E-01 .4739E-01 .8730E-01
.3155E+03 .4702E-01 .7854E-01 .1099E+00 .3507E-01 .4122E-01 .7629E-01
.3160E+03 .4874E-01 .8084E-01 .1133E+00 .3635E-01 .4243E-01 .7878E-01
.3165E+03 .5901E-01 .9741E-01 .1367E+00 .4401E-01 .5113E-01 .9515E-01
.3170E+03 .6765E-01 .1106E+00 .1557E+00 .5046E-01 .5807E-01 .1085E+00
.3175E+03 .7248E-01 .1172E+00 .1655E+00 .5406E-01 .6155E-01 .1156E+00
.3180E+03 .6971E-01 .1121E+00 .1586E+00 .5199E-01 .5890E-01 .1109E+00
.3185E+03 .7291E-01 .1175E+00 .1661E+00 .5438E-01 .6172E-01 .1161E+00
.3190E+03 .8001E-01 .1287E+00 .1820E+00 .5968E-01 .6760E-01 .1273E+00
.3195E+03 .7786E-01 .1228E+00 .1746E+00 .5808E-01 .6451E-01 .1226E+00
.3200E+03 .8209E-01 .1281E+00 .1827E+00 .6123E-01 .6731E-01 .1285E+00
.3205E+03 .9700E-01 .1520E+00 .2166E+00 .7235E-01 .7991E-01 .1523E+00
.3210E+03 .9793E-01 .1545E+00 .2198E+00 .7305E-01 .8123E-01 .1543E+00
