wvl_nm	Xsec_298K	a(T)
583	2.93E-18	-7.79412E-21
584	2.82E-18	-6.76471E-21
585	2.89E-18	-7.5E-21
586	3.32E-18	-9.55882E-21
587	4.16E-18	-1.5E-20
588	5.04E-18	-1.97059E-20
589	6.13E-18	-2.35294E-20
590	5.96E-18	-1.79412E-20
591	5.44E-18	-1.5E-20
592	5.11E-18	-1.33824E-20
593	4.58E-18	-1.08824E-20
594	4.19E-18	-1.22059E-20
595	4.29E-18	-1.45588E-20
596	4.62E-18	-1.75E-20
597	4.36E-18	-1.52941E-20
598	3.67E-18	-1.02941E-20
599	3.1E-18	-8.08824E-21
600	2.67E-18	-4.41176E-21
601	2.745E-18	-4.33824E-21
602	3.17E-18	-5.88235E-21
603	3.655E-18	-9.48529E-21
604	4.25E-18	-1.30882E-20
605	4.255E-18	-1.56618E-20
606	3.27E-18	-1.01471E-20
607	2.325E-18	-4.77941E-21
608	1.775E-18	-1.98529E-21
609	1.62E-18	-2.20588E-21
610	1.845E-18	-7.35294E-23
611	1.81E-18	-3.82353E-21
612	2.125E-18	-5.80882E-21
613	2.52E-18	-1E-20
614	2.485E-18	-8.30882E-21
615	2.18E-18	-5.88235E-21
616	1.995E-18	-3.75E-21
617	2E-18	-2.94118E-21
618	2.235E-18	-3.01471E-21
619	2.425E-18	-4.19118E-21
620	3.095E-18	-7.13235E-21
621	4.87E-18	-2.08824E-20
622	9.7975E-18	-3.43015E-20
623	1.44E-17	-4.48529E-20
624	1.172E-17	-3.16176E-20
625	8.17E-18	-2.79412E-20
626	7.165E-18	-2.43382E-20
627	7.34E-18	-3.33824E-20
628	7.195E-18	-3.28676E-20
629	6.85E-18	-3.20588E-20
630	6.57E-18	-3.52941E-20
631	4.77E-18	-1.95588E-20
632	3.355E-18	-9.19118E-21
633	2.055E-18	-6.69118E-21
634	1.53E-18	-2.94118E-21
635	1.36E-18	-5.88235E-22
636	1.64E-18	2.94118E-22
637	1.99E-18	-2.94118E-22
638	1.98E-18	1.32353E-21
639	1.6E-18	2.64706E-21
640	1.22E-18	1.32353E-21
641	9.95E-19	6.61765E-22
642	9.15E-19	1.10294E-21
643	9.5E-19	2.05882E-21
644	9.35E-19	1.39706E-21
645	8.55E-19	8.08824E-22
646	7.35E-19	6.61765E-22
647	6.95E-19	2.20588E-22
648	6.1E-19	-2.94118E-22
649	5.25E-19	-7.35294E-23
650	4.95E-19	-7.35294E-23
651	5.35E-19	-3.67647E-22
652	5.8E-19	-1.17647E-21
653	6.6E-19	-1.91176E-21
654	7.9E-19	-1.91176E-21
655	9.55E-19	-2.13235E-21
656	1.32E-18	-1.76471E-21
657	1.715E-18	-1.98529E-21
658	2.32E-18	-3.97059E-21
659	3.815E-18	-6.69118E-21
660	7.015E-18	-1.30147E-20
661	1.378E-17	-4.36765E-20
662	2.05E-17	-9.10294E-20
663	1.743E-17	-8.14706E-20
664	1.1195E-17	-4.93382E-20
665	7.465E-18	-2.68382E-20
666	4.795E-18	-2.19853E-20
667	2.79E-18	-1.39706E-20
668	1.765E-18	-8.30882E-21
669	1.19E-18	-3.82353E-21
670	9E-19	-3.23529E-21
671	7.9E-19	-2.20588E-21
672	7.6E-19	-3.08824E-21
673	6.4E-19	-2.5E-21
674	5.2E-19	-1.61765E-21
675	4.8E-19	-1.02941E-21
676	4.9E-19	-4.41176E-22
677	5.9E-19	-4.41176E-22
678	7.5E-19	4.41176E-22
679	7.8E-19	7.35294E-22
680	6.9E-19	7.35294E-22
681	5.3E-19	0
682	4E-19	-5.88235E-22
683	3E-19	-2.94118E-22
684	2.6E-19	-2.94118E-22
685	1.8E-19	-8.82353E-22
686	1.6E-19	1.47059E-22
687	1.2E-19	-1.61765E-21
688	1.2E-19	-1.17647E-21
689	1.2E-19	-1.02941E-21
690	1E-19	-1.61765E-21
691	8E-20	-1.32353E-21
692	7E-20	-1.02941E-21
693	6E-20	-8.82353E-22
694	5E-20	-7.35294E-22
695	4E-20	-5.88235E-22
696	4E-20	-5.88235E-22
697	4E-20	-5.88235E-22
698	4E-20	-5.88235E-22
699	4E-20	-5.88235E-22
700	3E-20	-4.41176E-22
701	2E-20	-2.94118E-22
702	2E-20	-2.94118E-22
703	1E-20	-1.47059E-22
