wvl_nm	Xsec_O4			
596	0.18031
597	0.18031
598	0.18031
599	0.18031
600	0.18031
601	0.20607
602	0.24041
603	0.24041
604	0.24041
605	0.28334
606	0.33486
607	0.41214
608	0.45507
609	0.51517
610	0.57527
611	0.66114
612	0.76417
613	0.89296
614	1.0475
615	1.1935
616	1.3824
617	1.6228
618	1.8804
619	2.1981
620	2.5759
621	3.0052
622	3.5118
623	4.0784
624	4.6795
625	5.2891
626	5.8987
627	6.4311
628	6.8861
629	7.1351
630	7.2274
631	7.1094
632	6.8174
633	6.3194
634	5.6583
635	4.9113
636	4.1901
637	3.5289
638	2.9365
639	2.3666
640	1.8632
641	1.4768
642	1.142
643	0.87579
644	0.64611
645	0.48083
646	0.35203
647	0.27476
648	0.20607
649	0.16528
650	0.12021
651	0.12021
652	0.060103
653	0.060103
654	0.060103
655	0.060103
656	0.060103
657	0.060103
658	0.060103
659	0.060103
660	0.060103
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0.012
679	0.024
680	0.036
681	0.048
682	0.060103
683	0.10518
684	0.12021
685	0.14597
686	0.44648
687	1.6915
688	1.0819
689	0.98741
690	0.9359
691	0.59245
692	0.32628
693	0.1889
694	0.12021
695	0.060103
696	0.048103
697	0.036103
698	0.024103
699	0.012103
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0.015
727	0.03
728	0.045
729	0.060103
730	0.06869
731	0.07569
732	0.08269
733	0.08969
734	0.09669
735	0.10369
736	0.11069
737	0.11769
738	0.12021
739	0.16314
740	0.18031
741	0.18031
742	0.23183
743	0.24041
744	0.29193
745	0.31769
746	0.36921
747	0.4379
748	0.51088
749	0.60103
750	0.6869
751	0.8071
752	0.91014
753	1.0218
754	1.1334
755	1.2708
756	1.4167
757	1.5799
758	1.8718
759	4.3199
760	16.108
761	21.972
762	14.116
763	13.798
764	15.404
765	11.815
766	7.1609
767	3.8724
768	2.0607
769	1.1849
770	0.74378
771	0.54093
772	0.42931
773	0.36062
774	0.30052
775	0.26617
776	0.24041
777	0.21465
778	0.18031
779	0.18031
780	0.13738
781	0.12021
782	0.12021
783	0.12021
784	0.060103
785	0.048103
786	0.036103
787	0.024103
788	0.012103
789	0.000103
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
