Wavelength,Transmission
2000, 0
2020.6896551724142, 0.3088803088803047
2137.931034482759, 0.07722007722006197
2268.9655172413795, -0.15444015444016657
2400, 0.07722007722006197
2427.586206896552, 0.3088803088803047
2496.551724137931, -0.15444015444016657
2668.9655172413795, 0.07722007722006197
2827.586206896552, 0.07722007722006197
3006.8965517241377, 0.07722007722006197
3158.6206896551726, 0.5405405405405332
3227.5862068965516, 2.6254826254826327
3262.0689655172414, 7.7220077220077314
3282.7586206896553, 13.745173745173744
3296.551724137931, 22.548262548262556
3310.344827586207, 30.888030888030897
3317.241379310345, 38.996138996138995
3324.137931034483, 48.03088803088803
3331.0344827586205, 58.22393822393823
3337.9310344827586, 66.10038610038609
3344.8275862068967, 75.13513513513513
3351.7241379310344, 82.08494208494209
3365.5172413793102, 86.25482625482626
3372.4137931034484, 88.33976833976834
3400, 85.79150579150578
3420.689655172414, 82.31660231660231
3427.5862068965516, 77.91505791505791
3441.379310344828, 71.42857142857143
3455.1724137931037, 63.552123552123554
3455.1724137931037, 56.37065637065637
3468.9655172413795, 49.65250965250965
3475.862068965517, 41.54440154440155
3482.7586206896553, 31.81467181467181
3496.551724137931, 22.316602316602314
3503.448275862069, 15.366795366795358
3531.0344827586205, 8.880308880308888
3565.5172413793107, 4.015444015444018
3634.4827586206898, 1.2355212355212188
3731.034482758621, 0.3088803088803047
3875.862068965517, 0.3088803088803047
4055.1724137931033, -0.15444015444016657
4186.206896551725, -0.15444015444016657
4241.379310344828, 0.07722007722006197
4317.241379310344, 0.07722007722006197
4400, -0.15444015444016657
4613.793103448275, -0.15444015444016657
