Wavelength Global Beam Diffuse Ground
.5560E+03 .1547E+01 .1365E+01 .1834E+00 .2505E+00
.5570E+03 .1509E+01 .1332E+01 .1780E+00 .2509E+00
.5580E+03 .1541E+01 .1361E+01 .1808E+00 .2513E+00
.5590E+03 .1458E+01 .1288E+01 .1701E+00 .2518E+00
.5600E+03 .1483E+01 .1312E+01 .1722E+00 .2523E+00
.5610E+03 .1569E+01 .1389E+01 .1813E+00 .2528E+00
.5620E+03 .1494E+01 .1323E+01 .1716E+00 .2532E+00
.5630E+03 .1550E+01 .1373E+01 .1772E+00 .2539E+00
.5640E+03 .1520E+01 .1347E+01 .1729E+00 .2549E+00
.5650E+03 .1529E+01 .1356E+01 .1731E+00 .2558E+00
.5660E+03 .1446E+01 .1282E+01 .1628E+00 .2563E+00
.5670E+03 .1541E+01 .1367E+01 .1727E+00 .2568E+00
.5680E+03 .1527E+01 .1355E+01 .1701E+00 .2576E+00
.5690E+03 .1490E+01 .1323E+01 .1648E+00 .2585E+00
.5700E+03 .1490E+01 .1324E+01 .1643E+00 .2594E+00
.5710E+03 .1442E+01 .1281E+01 .1582E+00 .2600E+00
.5720E+03 .1522E+01 .1353E+01 .1661E+00 .2605E+00
.5730E+03 .1529E+01 .1359E+01 .1660E+00 .2615E+00
.5740E+03 .1521E+01 .1353E+01 .1644E+00 .2629E+00
.5750E+03 .1486E+01 .1323E+01 .1600E+00 .2641E+00
.5760E+03 .1474E+01 .1312E+01 .1579E+00 .2647E+00
.5770E+03 .1511E+01 .1345E+01 .1612E+00 .2652E+00
.5780E+03 .1464E+01 .1304E+01 .1557E+00 .2660E+00
.5790E+03 .1485E+01 .1323E+01 .1575E+00 .2670E+00
.5800E+03 .1510E+01 .1345E+01 .1597E+00 .2678E+00
.5810E+03 .1517E+01 .1352E+01 .1599E+00 .2682E+00
.5820E+03 .1540E+01 .1373E+01 .1618E+00 .2686E+00
.5830E+03 .1556E+01 .1387E+01 .1630E+00 .2699E+00
.5840E+03 .1553E+01 .1385E+01 .1621E+00 .2714E+00
.5850E+03 .1541E+01 .1374E+01 .1602E+00 .2724E+00
.5860E+03 .1503E+01 .1341E+01 .1556E+00 .2724E+00
.5870E+03 .1536E+01 .1371E+01 .1582E+00 .2724E+00
.5880E+03 .1501E+01 .1340E+01 .1535E+00 .2736E+00
.5890E+03 .1296E+01 .1158E+01 .1312E+00 .2751E+00
.5900E+03 .1378E+01 .1232E+01 .1391E+00 .2763E+00
.5910E+03 .1474E+01 .1317E+01 .1485E+00 .2772E+00
.5920E+03 .1443E+01 .1291E+01 .1446E+00 .2781E+00
.5930E+03 .1463E+01 .1309E+01 .1463E+00 .2786E+00
.5940E+03 .1456E+01 .1303E+01 .1448E+00 .2791E+00
.5950E+03 .1438E+01 .1287E+01 .1421E+00 .2799E+00
.5960E+03 .1482E+01 .1326E+01 .1464E+00 .2809E+00
.5970E+03 .1486E+01 .1330E+01 .1461E+00 .2818E+00
.5980E+03 .1468E+01 .1314E+01 .1438E+00 .2823E+00
.5990E+03 .1468E+01 .1314E+01 .1433E+00 .2827E+00
.6000E+03 .1482E+01 .1328E+01 .1443E+00 .2834E+00
.6010E+03 .1465E+01 .1312E+01 .1421E+00 .2843E+00
.6020E+03 .1443E+01 .1293E+01 .1394E+00 .2852E+00
.6030E+03 .1473E+01 .1320E+01 .1418E+00 .2857E+00
.6040E+03 .1499E+01 .1344E+01 .1437E+00 .2863E+00
.6050E+03 .1496E+01 .1342E+01 .1429E+00 .2871E+00
.6060E+03 .1489E+01 .1335E+01 .1418E+00 .2880E+00
.6070E+03 .1498E+01 .1343E+01 .1423E+00 .2889E+00
.6080E+03 .1493E+01 .1339E+01 .1413E+00 .2893E+00
.6090E+03 .1482E+01 .1329E+01 .1398E+00 .2898E+00
.6100E+03 .1475E+01 .1324E+01 .1387E+00 .2906E+00
.6110E+03 .1468E+01 .1317E+01 .1376E+00 .2915E+00
.6120E+03 .1490E+01 .1337E+01 .1392E+00 .2924E+00
.6130E+03 .1468E+01 .1318E+01 .1367E+00 .2929E+00
.6140E+03 .1424E+01 .1278E+01 .1321E+00 .2935E+00
.6150E+03 .1476E+01 .1325E+01 .1366E+00 .2943E+00
.6160E+03 .1437E+01 .1291E+01 .1326E+00 .2952E+00
.6170E+03 .1419E+01 .1274E+01 .1304E+00 .2961E+00
.6180E+03 .1473E+01 .1323E+01 .1349E+00 .2971E+00
.6190E+03 .1479E+01 .1329E+01 .1351E+00 .2981E+00
.6200E+03 .1480E+01 .1330E+01 .1347E+00 .2990E+00
.6210E+03 .1486E+01 .1336E+01 .1347E+00 .3000E+00
.6220E+03 .1433E+01 .1288E+01 .1291E+00 .3008E+00
.6230E+03 .1422E+01 .1279E+01 .1274E+00 .3013E+00
.6240E+03 .1417E+01 .1275E+01 .1267E+00 .3018E+00
.6250E+03 .1408E+01 .1267E+01 .1256E+00 .3032E+00
.6260E+03 .1407E+01 .1265E+01 .1251E+00 .3046E+00
.6270E+03 .1447E+01 .1302E+01 .1282E+00 .3055E+00
.6280E+03 .1368E+01 .1233E+01 .1194E+00 .3061E+00
.6290E+03 .1417E+01 .1276E+01 .1241E+00 .3066E+00
.6300E+03 .1398E+01 .1259E+01 .1220E+00 .3070E+00
.6310E+03 .1421E+01 .1280E+01 .1241E+00 .3075E+00
.6320E+03 .1369E+01 .1233E+01 .1193E+00 .3085E+00
.6330E+03 .1456E+01 .1311E+01 .1268E+00 .3100E+00
.6340E+03 .1434E+01 .1291E+01 .1246E+00 .3112E+00
.6350E+03 .1451E+01 .1307E+01 .1257E+00 .3117E+00
.6360E+03 .1418E+01 .1277E+01 .1225E+00 .3122E+00
.6370E+03 .1466E+01 .1320E+01 .1263E+00 .3130E+00
.6380E+03 .1476E+01 .1329E+01 .1268E+00 .3139E+00
.6390E+03 .1470E+01 .1324E+01 .1260E+00 .3147E+00
.6400E+03 .1439E+01 .1296E+01 .1230E+00 .3152E+00
.6410E+03 .1440E+01 .1297E+01 .1227E+00 .3157E+00
.6420E+03 .1442E+01 .1300E+01 .1226E+00 .3169E+00
.6430E+03 .1457E+01 .1313E+01 .1235E+00 .3184E+00
.6440E+03 .1451E+01 .1307E+01 .1227E+00 .3195E+00
.6450E+03 .1461E+01 .1317E+01 .1231E+00 .3200E+00
.6460E+03 .1420E+01 .1280E+01 .1190E+00 .3205E+00
.6470E+03 .1413E+01 .1274E+01 .1177E+00 .3215E+00
.6480E+03 .1400E+01 .1263E+01 .1162E+00 .3225E+00
.6490E+03 .1356E+01 .1223E+01 .1122E+00 .3232E+00
.6500E+03 .1364E+01 .1230E+01 .1129E+00 .3237E+00
.6510E+03 .1449E+01 .1307E+01 .1197E+00 .3241E+00
.6520E+03 .1391E+01 .1256E+01 .1140E+00 .3250E+00
.6530E+03 .1435E+01 .1295E+01 .1178E+00 .3259E+00
.6540E+03 .1420E+01 .1281E+01 .1162E+00 .3266E+00
.6550E+03 .1354E+01 .1222E+01 .1102E+00 .3272E+00
.6560E+03 .1189E+01 .1073E+01 .9656E-01 .3277E+00
.6570E+03 .1243E+01 .1122E+01 .1007E+00 .3292E+00
.6580E+03 .1389E+01 .1254E+01 .1123E+00 .3306E+00
.6590E+03 .1394E+01 .1259E+01 .1124E+00 .3314E+00
.6600E+03 .1403E+01 .1267E+01 .1126E+00 .3319E+00
.6610E+03 .1397E+01 .1262E+01 .1116E+00 .3325E+00
.6620E+03 .1386E+01 .1252E+01 .1101E+00 .3340E+00
.6630E+03 .1388E+01 .1254E+01 .1101E+00 .3354E+00
.6640E+03 .1400E+01 .1265E+01 .1111E+00 .3362E+00
.6650E+03 .1425E+01 .1287E+01 .1129E+00 .3367E+00
.6660E+03 .1424E+01 .1286E+01 .1126E+00 .3374E+00
.6670E+03 .1414E+01 .1277E+01 .1116E+00 .3383E+00
.6680E+03 .1419E+01 .1281E+01 .1117E+00 .3392E+00
.6690E+03 .1443E+01 .1303E+01 .1133E+00 .3398E+00
.6700E+03 .1423E+01 .1285E+01 .1114E+00 .3403E+00
.6710E+03 .1420E+01 .1283E+01 .1109E+00 .3413E+00
.6720E+03 .1401E+01 .1265E+01 .1091E+00 .3432E+00
.6730E+03 .1413E+01 .1276E+01 .1098E+00 .3453E+00
.6740E+03 .1411E+01 .1274E+01 .1093E+00 .3457E+00
.6750E+03 .1399E+01 .1264E+01 .1081E+00 .3462E+00
.6760E+03 .1415E+01 .1279E+01 .1090E+00 .3471E+00
.6770E+03 .1402E+01 .1267E+01 .1077E+00 .3486E+00
.6780E+03 .1410E+01 .1274E+01 .1080E+00 .3501E+00
.6790E+03 .1398E+01 .1263E+01 .1068E+00 .3511E+00
.6800E+03 .1400E+01 .1265E+01 .1066E+00 .3521E+00
.6810E+03 .1395E+01 .1260E+01 .1059E+00 .3530E+00
.6820E+03 .1401E+01 .1266E+01 .1061E+00 .3539E+00
.6830E+03 .1386E+01 .1253E+01 .1046E+00 .3548E+00
.6840E+03 .1377E+01 .1245E+01 .1036E+00 .3552E+00
.6850E+03 .1378E+01 .1245E+01 .1034E+00 .3557E+00
.6860E+03 .1347E+01 .1217E+01 .1007E+00 .3568E+00
.6870E+03 .9696E+00 .8829E+00 .6714E-01 .3582E+00
.6880E+03 .1123E+01 .1020E+01 .7986E-01 .3595E+00
.6890E+03 .1130E+01 .1026E+01 .8019E-01 .3600E+00
.6900E+03 .1184E+01 .1075E+01 .8461E-01 .3605E+00
.6910E+03 .1236E+01 .1120E+01 .8895E-01 .3617E+00
.6920E+03 .1271E+01 .1152E+01 .9200E-01 .3632E+00
.6930E+03 .1264E+01 .1145E+01 .9107E-01 .3644E+00
.6940E+03 .1249E+01 .1132E+01 .8964E-01 .3648E+00
.6950E+03 .1274E+01 .1154E+01 .9179E-01 .3652E+00
.6960E+03 .1272E+01 .1152E+01 .9131E-01 .3665E+00
.6970E+03 .1343E+01 .1215E+01 .9707E-01 .3680E+00
.6980E+03 .1322E+01 .1196E+01 .9524E-01 .3691E+00
.6990E+03 .1294E+01 .1172E+01 .9243E-01 .3696E+00
.7000E+03 .1285E+01 .1164E+01 .9144E-01 .3701E+00
.7010E+03 .1269E+01 .1149E+01 .8990E-01 .3714E+00
.7020E+03 .1270E+01 .1150E+01 .8992E-01 .3729E+00
.7030E+03 .1277E+01 .1157E+01 .9014E-01 .3738E+00
.7040E+03 .1310E+01 .1186E+01 .9251E-01 .3743E+00
.7050E+03 .1324E+01 .1199E+01 .9317E-01 .3747E+00
.7060E+03 .1317E+01 .1192E+01 .9254E-01 .3757E+00
.7070E+03 .1311E+01 .1188E+01 .9192E-01 .3767E+00
.7080E+03 .1307E+01 .1184E+01 .9134E-01 .3773E+00
.7090E+03 .1312E+01 .1188E+01 .9156E-01 .3778E+00
.7100E+03 .1319E+01 .1195E+01 .9173E-01 .3783E+00
.7110E+03 .1317E+01 .1193E+01 .9144E-01 .3810E+00
.7120E+03 .1309E+01 .1186E+01 .9072E-01 .3835E+00
.7130E+03 .1294E+01 .1172E+01 .8931E-01 .3842E+00
.7140E+03 .1305E+01 .1182E+01 .8979E-01 .3842E+00
.7150E+03 .1261E+01 .1143E+01 .8629E-01 .3845E+00
.7160E+03 .1273E+01 .1155E+01 .8688E-01 .3860E+00
.7170E+03 .1108E+01 .1007E+01 .7347E-01 .3874E+00
.7180E+03 .1032E+01 .9388E+00 .6768E-01 .3885E+00
.7190E+03 .9254E+00 .8428E+00 .6012E-01 .3894E+00
.7200E+03 .9875E+00 .8995E+00 .6405E-01 .3904E+00
.7210E+03 .1088E+01 .9897E+00 .7159E-01 .3913E+00
.7220E+03 .1242E+01 .1128E+01 .8307E-01 .3923E+00
.7230E+03 .1146E+01 .1042E+01 .7559E-01 .3928E+00
.7240E+03 .1058E+01 .9631E+00 .6862E-01 .3933E+00
.7250E+03 .1040E+01 .9475E+00 .6709E-01 .3938E+00
.7260E+03 .1083E+01 .9862E+00 .6997E-01 .3942E+00
.7270E+03 .1087E+01 .9899E+00 .7029E-01 .3947E+00
.7280E+03 .1042E+01 .9495E+00 .6661E-01 .3951E+00
.7290E+03 .1048E+01 .9547E+00 .6746E-01 .3956E+00
.7300E+03 .1130E+01 .1029E+01 .7276E-01 .3963E+00
.7310E+03 .1071E+01 .9762E+00 .6844E-01 .3973E+00
.7320E+03 .1155E+01 .1052E+01 .7433E-01 .3983E+00
.7330E+03 .1197E+01 .1090E+01 .7759E-01 .3988E+00
.7340E+03 .1237E+01 .1126E+01 .8010E-01 .3993E+00
.7350E+03 .1219E+01 .1110E+01 .7863E-01 .4000E+00
.7360E+03 .1208E+01 .1100E+01 .7769E-01 .4009E+00
.7370E+03 .1205E+01 .1098E+01 .7730E-01 .4018E+00
.7380E+03 .1228E+01 .1118E+01 .7897E-01 .4023E+00
.7390E+03 .1192E+01 .1085E+01 .7637E-01 .4028E+00
.7400E+03 .1221E+01 .1112E+01 .7815E-01 .4033E+00
.7410E+03 .1216E+01 .1108E+01 .7770E-01 .4038E+00
.7420E+03 .1216E+01 .1108E+01 .7758E-01 .4043E+00
.7430E+03 .1242E+01 .1132E+01 .7896E-01 .4043E+00
.7440E+03 .1251E+01 .1141E+01 .7938E-01 .4043E+00
.7450E+03 .1251E+01 .1140E+01 .7915E-01 .4049E+00
.7460E+03 .1248E+01 .1138E+01 .7876E-01 .4058E+00
.7470E+03 .1249E+01 .1139E+01 .7859E-01 .4065E+00
.7480E+03 .1241E+01 .1132E+01 .7788E-01 .4065E+00
.7490E+03 .1237E+01 .1129E+01 .7738E-01 .4065E+00
.7500E+03 .1235E+01 .1127E+01 .7707E-01 .4071E+00
.7510E+03 .1229E+01 .1122E+01 .7653E-01 .4081E+00
.7520E+03 .1234E+01 .1127E+01 .7660E-01 .4088E+00
.7530E+03 .1227E+01 .1121E+01 .7599E-01 .4088E+00
.7540E+03 .1243E+01 .1135E+01 .7673E-01 .4088E+00
.7550E+03 .1239E+01 .1132E+01 .7629E-01 .4096E+00
.7560E+03 .1224E+01 .1118E+01 .7517E-01 .4106E+00
.7570E+03 .1223E+01 .1118E+01 .7490E-01 .4114E+00
.7580E+03 .1230E+01 .1125E+01 .7514E-01 .4118E+00
.7590E+03 .1195E+01 .1093E+01 .7257E-01 .4123E+00
.7600E+03 .2643E+00 .2473E+00 .1173E-01 .4125E+00
.7610E+03 .1523E+00 .1434E+00 .6081E-02 .4129E+00
.7620E+03 .6875E+00 .6350E+00 .3680E-01 .4136E+00
.7630E+03 .3781E+00 .3523E+00 .1785E-01 .4134E+00
.7640E+03 .5380E+00 .4990E+00 .2717E-01 .4135E+00
.7650E+03 .6858E+00 .6339E+00 .3637E-01 .4139E+00
.7660E+03 .8149E+00 .7509E+00 .4504E-01 .4143E+00
.7670E+03 .9748E+00 .8958E+00 .5571E-01 .4148E+00
.7680E+03 .1114E+01 .1022E+01 .6516E-01 .4154E+00
.7690E+03 .1128E+01 .1035E+01 .6617E-01 .4160E+00
.7700E+03 .1161E+01 .1065E+01 .6835E-01 .4168E+00
.7710E+03 .1169E+01 .1072E+01 .6881E-01 .4177E+00
.7720E+03 .1178E+01 .1080E+01 .6922E-01 .4182E+00
.7730E+03 .1178E+01 .1080E+01 .6898E-01 .4182E+00
.7740E+03 .1178E+01 .1080E+01 .6878E-01 .4182E+00
.7750E+03 .1178E+01 .1080E+01 .6860E-01 .4192E+00
.7760E+03 .1180E+01 .1083E+01 .6858E-01 .4202E+00
.7770E+03 .1173E+01 .1076E+01 .6797E-01 .4206E+00
.7780E+03 .1172E+01 .1075E+01 .6769E-01 .4206E+00
.7790E+03 .1177E+01 .1080E+01 .6778E-01 .4206E+00
.7800E+03 .1164E+01 .1069E+01 .6686E-01 .4211E+00
.7810E+03 .1161E+01 .1066E+01 .6653E-01 .4216E+00
.7820E+03 .1167E+01 .1071E+01 .6667E-01 .4221E+00
.7830E+03 .1162E+01 .1067E+01 .6623E-01 .4225E+00
.7840E+03 .1154E+01 .1060E+01 .6562E-01 .4230E+00
.7850E+03 .1159E+01 .1065E+01 .6572E-01 .4235E+00
.7860E+03 .1159E+01 .1066E+01 .6558E-01 .4241E+00
.7870E+03 .1145E+01 .1053E+01 .6445E-01 .4245E+00
.7880E+03 .1131E+01 .1040E+01 .6338E-01 .4249E+00
.7890E+03 .1126E+01 .1036E+01 .6291E-01 .4253E+00
.7900E+03 .1092E+01 .1005E+01 .6055E-01 .4258E+00
.7910E+03 .1106E+01 .1018E+01 .6145E-01 .4263E+00
.7920E+03 .1096E+01 .1008E+01 .6073E-01 .4265E+00
.7930E+03 .1088E+01 .1001E+01 .6010E-01 .4265E+00
.7940E+03 .1097E+01 .1010E+01 .6076E-01 .4266E+00
.7950E+03 .1093E+01 .1007E+01 .6031E-01 .4271E+00
.7960E+03 .1075E+01 .9899E+00 .5876E-01 .4276E+00
.7970E+03 .1092E+01 .1006E+01 .5955E-01 .4285E+00
.7980E+03 .1112E+01 .1024E+01 .6086E-01 .4294E+00
.7990E+03 .1091E+01 .1005E+01 .5946E-01 .4302E+00
.8000E+03 .1073E+01 .9886E+00 .5823E-01 .4302E+00
.8010E+03 .1085E+01 .9998E+00 .5864E-01 .4301E+00
.8020E+03 .1086E+01 .1001E+01 .5856E-01 .4305E+00
.8030E+03 .1066E+01 .9829E+00 .5730E-01 .4309E+00
.8040E+03 .1078E+01 .9945E+00 .5785E-01 .4314E+00
.8050E+03 .1055E+01 .9727E+00 .5653E-01 .4318E+00
.8060E+03 .1098E+01 .1012E+01 .5882E-01 .4323E+00
.8070E+03 .1086E+01 .1002E+01 .5801E-01 .4328E+00
.8080E+03 .1082E+01 .9984E+00 .5767E-01 .4332E+00
.8090E+03 .1055E+01 .9735E+00 .5595E-01 .4337E+00
.8100E+03 .1056E+01 .9749E+00 .5577E-01 .4342E+00
.8110E+03 .1053E+01 .9727E+00 .5535E-01 .4347E+00
.8120E+03 .1027E+01 .9490E+00 .5358E-01 .4356E+00
.8130E+03 .1008E+01 .9316E+00 .5227E-01 .4365E+00
.8140E+03 .9029E+00 .8357E+00 .4582E-01 .4371E+00
.8150E+03 .8952E+00 .8287E+00 .4531E-01 .4371E+00
.8160E+03 .8331E+00 .7717E+00 .4175E-01 .4371E+00
.8170E+03 .8527E+00 .7899E+00 .4275E-01 .4375E+00
.8180E+03 .8234E+00 .7630E+00 .4102E-01 .4379E+00
.8190E+03 .9057E+00 .8385E+00 .4580E-01 .4384E+00
.8200E+03 .8626E+00 .7990E+00 .4318E-01 .4390E+00
.8210E+03 .9980E+00 .9232E+00 .5099E-01 .4396E+00
.8220E+03 .9518E+00 .8808E+00 .4831E-01 .4400E+00
.8230E+03 .6737E+00 .6258E+00 .3229E-01 .4405E+00
.8240E+03 .9354E+00 .8662E+00 .4694E-01 .4410E+00
.8250E+03 .9696E+00 .8975E+00 .4895E-01 .4414E+00
.8260E+03 .9350E+00 .8660E+00 .4676E-01 .4418E+00
.8270E+03 .9848E+00 .9118E+00 .4952E-01 .4423E+00
.8280E+03 .8504E+00 .7887E+00 .4167E-01 .4427E+00
.8290E+03 .9297E+00 .8614E+00 .4622E-01 .4430E+00
.8300E+03 .9164E+00 .8493E+00 .4536E-01 .4430E+00
.8310E+03 .9243E+00 .8567E+00 .4568E-01 .4430E+00
.8320E+03 .8947E+00 .8296E+00 .4391E-01 .4440E+00
.8330E+03 .9559E+00 .8857E+00 .4741E-01 .4450E+00
.8340E+03 .9334E+00 .8653E+00 .4588E-01 .4457E+00
.8350E+03 .1003E+01 .9292E+00 .4982E-01 .4462E+00
.8360E+03 .9719E+00 .9010E+00 .4776E-01 .4467E+00
.8370E+03 .1009E+01 .9349E+00 .4990E-01 .4471E+00
.8380E+03 .9989E+00 .9259E+00 .4912E-01 .4476E+00
.8390E+03 .1001E+01 .9278E+00 .4929E-01 .4480E+00
.8400E+03 .1016E+01 .9413E+00 .4992E-01 .4485E+00
.8410E+03 .1010E+01 .9363E+00 .4945E-01 .4489E+00
.8420E+03 .9968E+00 .9241E+00 .4879E-01 .4494E+00
.8430E+03 .1005E+01 .9317E+00 .4918E-01 .4499E+00
.8440E+03 .9861E+00 .9143E+00 .4807E-01 .4504E+00
.8450E+03 .1016E+01 .9423E+00 .4950E-01 .4509E+00
.8460E+03 .1018E+01 .9445E+00 .4950E-01 .4514E+00
.8470E+03 .9914E+00 .9195E+00 .4810E-01 .4518E+00
.8480E+03 .9919E+00 .9201E+00 .4796E-01 .4523E+00
.8490E+03 .9857E+00 .9145E+00 .4753E-01 .4528E+00
.8500E+03 .8935E+00 .8290E+00 .4298E-01 .4533E+00
.8510E+03 .9747E+00 .9045E+00 .4672E-01 .4536E+00
.8520E+03 .9690E+00 .8994E+00 .4634E-01 .4536E+00
.8530E+03 .9646E+00 .8954E+00 .4605E-01 .4536E+00
.8540E+03 .8509E+00 .7900E+00 .4049E-01 .4540E+00
.8550E+03 .9127E+00 .8475E+00 .4338E-01 .4545E+00
.8560E+03 .9729E+00 .9034E+00 .4611E-01 .4551E+00
.8570E+03 .9913E+00 .9206E+00 .4692E-01 .4561E+00
.8580E+03 .9916E+00 .9209E+00 .4682E-01 .4571E+00
.8590E+03 .9913E+00 .9208E+00 .4672E-01 .4573E+00
.8600E+03 .9878E+00 .9176E+00 .4645E-01 .4573E+00
.8610E+03 .9864E+00 .9165E+00 .4628E-01 .4576E+00
.8620E+03 .9941E+00 .9237E+00 .4655E-01 .4586E+00
.8630E+03 .1000E+01 .9293E+00 .4673E-01 .4595E+00
.8640E+03 .9788E+00 .9096E+00 .4564E-01 .4600E+00
.8650E+03 .9628E+00 .8949E+00 .4480E-01 .4605E+00
.8660E+03 .8487E+00 .7888E+00 .3939E-01 .4609E+00
.8670E+03 .9151E+00 .8507E+00 .4238E-01 .4614E+00
.8680E+03 .9588E+00 .8914E+00 .4431E-01 .4618E+00
.8690E+03 .9491E+00 .8825E+00 .4376E-01 .4623E+00
.8700E+03 .9671E+00 .8993E+00 .4449E-01 .4628E+00
.8710E+03 .9534E+00 .8867E+00 .4376E-01 .4633E+00
.8720E+03 .9664E+00 .8989E+00 .4426E-01 .4638E+00
.8730E+03 .9568E+00 .8900E+00 .4372E-01 .4643E+00
.8740E+03 .9400E+00 .8745E+00 .4285E-01 .4643E+00
.8750E+03 .9264E+00 .8620E+00 .4212E-01 .4643E+00
.8760E+03 .9523E+00 .8862E+00 .4319E-01 .4645E+00
.8770E+03 .9557E+00 .8895E+00 .4325E-01 .4650E+00
.8780E+03 .9519E+00 .8861E+00 .4297E-01 .4655E+00
.8790E+03 .9361E+00 .8714E+00 .4216E-01 .4659E+00
.8800E+03 .9391E+00 .8743E+00 .4220E-01 .4664E+00
.8810E+03 .9082E+00 .8456E+00 .4070E-01 .4671E+00
.8820E+03 .9320E+00 .8679E+00 .4167E-01 .4681E+00
.8830E+03 .9288E+00 .8649E+00 .4145E-01 .4689E+00
.8840E+03 .9326E+00 .8686E+00 .4151E-01 .4689E+00
.8850E+03 .9438E+00 .8791E+00 .4191E-01 .4689E+00
.8860E+03 .9071E+00 .8452E+00 .4011E-01 .4695E+00
.8870E+03 .9102E+00 .8480E+00 .4022E-01 .4704E+00
.8880E+03 .9218E+00 .8590E+00 .4060E-01 .4713E+00
.8890E+03 .9341E+00 .8704E+00 .4111E-01 .4713E+00
.8900E+03 .9235E+00 .8608E+00 .4046E-01 .4712E+00
.8910E+03 .9253E+00 .8626E+00 .4050E-01 .4719E+00
.8920E+03 .9083E+00 .8469E+00 .3957E-01 .4728E+00
.8930E+03 .8733E+00 .8145E+00 .3780E-01 .4736E+00
.8940E+03 .8496E+00 .7929E+00 .3643E-01 .4736E+00
.8950E+03 .8124E+00 .7586E+00 .3441E-01 .4736E+00
.8960E+03 .7627E+00 .7127E+00 .3195E-01 .4739E+00
.8970E+03 .6661E+00 .6231E+00 .2729E-01 .4745E+00
.8980E+03 .7181E+00 .6714E+00 .2969E-01 .4750E+00
.8990E+03 .5493E+00 .5146E+00 .2190E-01 .4755E+00
.9000E+03 .7428E+00 .6943E+00 .3084E-01 .4760E+00
.9010E+03 .5997E+00 .5617E+00 .2401E-01 .4768E+00
.9020E+03 .6704E+00 .6270E+00 .2748E-01 .4777E+00
.9030E+03 .6892E+00 .6449E+00 .2801E-01 .4783E+00
.9040E+03 .8443E+00 .7886E+00 .3539E-01 .4783E+00
.9050E+03 .8169E+00 .7634E+00 .3400E-01 .4783E+00
.9060E+03 .7756E+00 .7250E+00 .3203E-01 .4791E+00
.9070E+03 .6390E+00 .5984E+00 .2552E-01 .4801E+00
.9080E+03 .6525E+00 .6109E+00 .2613E-01 .4808E+00
.9090E+03 .7045E+00 .6592E+00 .2855E-01 .4808E+00
.9100E+03 .6253E+00 .5859E+00 .2470E-01 .4807E+00
.9110E+03 .6670E+00 .6246E+00 .2662E-01 .4816E+00
.9120E+03 .6891E+00 .6451E+00 .2761E-01 .4825E+00
.9130E+03 .6275E+00 .5881E+00 .2461E-01 .4831E+00
.9140E+03 .6268E+00 .5874E+00 .2458E-01 .4831E+00
.9150E+03 .6771E+00 .6344E+00 .2672E-01 .4831E+00
.9160E+03 .5769E+00 .5410E+00 .2231E-01 .4839E+00
.9170E+03 .7293E+00 .6828E+00 .2907E-01 .4849E+00
.9180E+03 .5930E+00 .5562E+00 .2290E-01 .4854E+00
.9190E+03 .7373E+00 .6903E+00 .2936E-01 .4854E+00
.9200E+03 .7442E+00 .6966E+00 .2977E-01 .4854E+00
.9210E+03 .7798E+00 .7297E+00 .3135E-01 .4864E+00
.9220E+03 .6994E+00 .6551E+00 .2759E-01 .4874E+00
.9230E+03 .7443E+00 .6965E+00 .2980E-01 .4879E+00
.9240E+03 .7206E+00 .6750E+00 .2833E-01 .4879E+00
.9250E+03 .7107E+00 .6659E+00 .2782E-01 .4879E+00
.9260E+03 .7023E+00 .6580E+00 .2749E-01 .4888E+00
.9270E+03 .7860E+00 .7359E+00 .3113E-01 .4898E+00
.9280E+03 .5861E+00 .5503E+00 .2200E-01 .4904E+00
.9290E+03 .5454E+00 .5125E+00 .2015E-01 .4909E+00
.9300E+03 .4323E+00 .4068E+00 .1540E-01 .4913E+00
.9310E+03 .4095E+00 .3854E+00 .1454E-01 .4918E+00
.9320E+03 .3009E+00 .2839E+00 .1019E-01 .4923E+00
.9330E+03 .2484E+00 .2346E+00 .8160E-02 .4924E+00
.9340E+03 .1435E+00 .1361E+00 .4297E-02 .4924E+00
.9350E+03 .2509E+00 .2369E+00 .8328E-02 .4926E+00
.9360E+03 .1613E+00 .1527E+00 .5044E-02 .4934E+00
.9370E+03 .1633E+00 .1546E+00 .5074E-02 .4943E+00
.9380E+03 .2005E+00 .1897E+00 .6351E-02 .4947E+00
.9390E+03 .3991E+00 .3760E+00 .1391E-01 .4948E+00
.9400E+03 .4720E+00 .4442E+00 .1682E-01 .4948E+00
.9410E+03 .3721E+00 .3508E+00 .1276E-01 .4948E+00
.9420E+03 .4055E+00 .3820E+00 .1414E-01 .4948E+00
.9430E+03 .2785E+00 .2629E+00 .9236E-02 .4951E+00
.9440E+03 .2861E+00 .2699E+00 .9661E-02 .4956E+00
.9450E+03 .3684E+00 .3473E+00 .1257E-01 .4960E+00
.9460E+03 .1946E+00 .1841E+00 .6119E-02 .4960E+00
.9470E+03 .3712E+00 .3502E+00 .1255E-01 .4960E+00
.9480E+03 .2744E+00 .2592E+00 .9032E-02 .4963E+00
.9490E+03 .4940E+00 .4652E+00 .1724E-01 .4969E+00
.9500E+03 .1471E+00 .1395E+00 .4373E-02 .4971E+00
.9510E+03 .4838E+00 .4557E+00 .1685E-01 .4972E+00
.9520E+03 .2689E+00 .2542E+00 .8638E-02 .4972E+00
.9530E+03 .3438E+00 .3245E+00 .1141E-01 .4976E+00
.9540E+03 .4243E+00 .3999E+00 .1453E-01 .4981E+00
