Wavelength Global Beam Diffuse Ground
.3250E+03 .2904E+00 .1550E+00 .1529E+00 .5208E-01
.3255E+03 .3363E+00 .1794E+00 .1773E+00 .5266E-01
.3260E+03 .3985E+00 .2087E+00 .2142E+00 .5325E-01
.3265E+03 .4235E+00 .2216E+00 .2278E+00 .5388E-01
.3270E+03 .4147E+00 .2184E+00 .2215E+00 .5450E-01
.3275E+03 .4016E+00 .2129E+00 .2130E+00 .5512E-01
.3280E+03 .3694E+00 .1977E+00 .1937E+00 .5574E-01
.3285E+03 .3874E+00 .2068E+00 .2038E+00 .5634E-01
.3290E+03 .4376E+00 .2330E+00 .2309E+00 .5695E-01
.3295E+03 .4849E+00 .2587E+00 .2553E+00 .5754E-01
.3300E+03 .4882E+00 .2619E+00 .2553E+00 .5814E-01
.3305E+03 .4451E+00 .2410E+00 .2303E+00 .5872E-01
.3310E+03 .4193E+00 .2284E+00 .2155E+00 .5932E-01
.3315E+03 .4339E+00 .2364E+00 .2229E+00 .5992E-01
.3320E+03 .4508E+00 .2451E+00 .2321E+00 .6052E-01
.3325E+03 .4531E+00 .2466E+00 .2330E+00 .6115E-01
.3330E+03 .4433E+00 .2426E+00 .2265E+00 .6177E-01
.3335E+03 .4216E+00 .2327E+00 .2133E+00 .6238E-01
.3340E+03 .4298E+00 .2382E+00 .2162E+00 .6300E-01
.3345E+03 .4594E+00 .2543E+00 .2315E+00 .6360E-01
.3350E+03 .4780E+00 .2648E+00 .2406E+00 .6420E-01
.3355E+03 .4784E+00 .2589E+00 .2474E+00 .6484E-01
.3360E+03 .4385E+00 .2381E+00 .2258E+00 .6544E-01
.3365E+03 .3940E+00 .2210E+00 .1953E+00 .6595E-01
.3370E+03 .3858E+00 .2177E+00 .1898E+00 .6651E-01
.3375E+03 .4135E+00 .2343E+00 .2023E+00 .6708E-01
.3380E+03 .4471E+00 .2532E+00 .2189E+00 .6765E-01
.3385E+03 .4770E+00 .2655E+00 .2386E+00 .6834E-01
.3390E+03 .4826E+00 .2710E+00 .2388E+00 .6898E-01
.3395E+03 .4961E+00 .2785E+00 .2455E+00 .6964E-01
.3400E+03 .5166E+00 .2966E+00 .2484E+00 .7025E-01
.3405E+03 .5153E+00 .2967E+00 .2468E+00 .7084E-01
.3410E+03 .4913E+00 .2793E+00 .2391E+00 .7147E-01
.3415E+03 .4842E+00 .2785E+00 .2322E+00 .7204E-01
.3420E+03 .5036E+00 .2912E+00 .2398E+00 .7263E-01
.3425E+03 .5213E+00 .3030E+00 .2466E+00 .7322E-01
.3430E+03 .5315E+00 .3086E+00 .2517E+00 .7382E-01
.3435E+03 .5039E+00 .2925E+00 .2386E+00 .7442E-01
.3440E+03 .4303E+00 .2535E+00 .1997E+00 .7499E-01
.3445E+03 .4216E+00 .2444E+00 .1999E+00 .7562E-01
.3450E+03 .4740E+00 .2785E+00 .2207E+00 .7619E-01
.3455E+03 .5032E+00 .2976E+00 .2322E+00 .7678E-01
.3460E+03 .4900E+00 .2913E+00 .2245E+00 .7736E-01
.3465E+03 .4983E+00 .2975E+00 .2269E+00 .7798E-01
.3470E+03 .5080E+00 .3032E+00 .2313E+00 .7861E-01
.3475E+03 .4909E+00 .2935E+00 .2230E+00 .7923E-01
.3480E+03 .4868E+00 .2931E+00 .2189E+00 .7984E-01
.3485E+03 .4940E+00 .2988E+00 .2205E+00 .8046E-01
.3490E+03 .4754E+00 .2886E+00 .2111E+00 .8108E-01
.3495E+03 .4883E+00 .2972E+00 .2160E+00 .8170E-01
.3500E+03 .5391E+00 .3291E+00 .2373E+00 .8231E-01
.3505E+03 .5794E+00 .3547E+00 .2539E+00 .8288E-01
.3510E+03 .5644E+00 .3460E+00 .2468E+00 .8344E-01
.3515E+03 .5457E+00 .3339E+00 .2394E+00 .8402E-01
.3520E+03 .5309E+00 .3267E+00 .2307E+00 .8457E-01
.3525E+03 .5005E+00 .3095E+00 .2159E+00 .8519E-01
.3530E+03 .5312E+00 .3298E+00 .2277E+00 .8580E-01
.3535E+03 .5836E+00 .3635E+00 .2488E+00 .8642E-01
.3540E+03 .6165E+00 .3852E+00 .2615E+00 .8704E-01
.3545E+03 .6232E+00 .3904E+00 .2631E+00 .8763E-01
.3550E+03 .6234E+00 .3914E+00 .2623E+00 .8822E-01
.3555E+03 .6016E+00 .3788E+00 .2519E+00 .8881E-01
.3560E+03 .5643E+00 .3563E+00 .2352E+00 .8940E-01
.3565E+03 .5291E+00 .3349E+00 .2196E+00 .8999E-01
.3570E+03 .4653E+00 .2953E+00 .1922E+00 .9058E-01
.3575E+03 .4707E+00 .2995E+00 .1936E+00 .9117E-01
.3580E+03 .4379E+00 .2794E+00 .1793E+00 .9176E-01
.3585E+03 .4064E+00 .2600E+00 .1657E+00 .9235E-01
.3590E+03 .4781E+00 .3065E+00 .1941E+00 .9294E-01
.3595E+03 .5764E+00 .3701E+00 .2332E+00 .9353E-01
.3600E+03 .6094E+00 .3924E+00 .2455E+00 .9412E-01
.3605E+03 .5757E+00 .3717E+00 .2307E+00 .9473E-01
.3610E+03 .5296E+00 .3428E+00 .2113E+00 .9535E-01
.3615E+03 .5186E+00 .3365E+00 .2060E+00 .9597E-01
.3620E+03 .5436E+00 .3535E+00 .2151E+00 .9659E-01
